#
# Parameters for  94Nb
#
# Level density
#
a         41  94  12.78526
gammald   41  94   0.08030
pair      41  94   0.00000
D0        41  94      0.04
Pshift    41  94   0.00000   0
deltaW    41  94   0.58504   0
T         41  94   0.68958   0
E0        41  94  -1.09621   0
Exmatch   41  94   3.68836   0
Ntop      41  94  19   0
Nlow      41  94   8   0
Krotconstant   41  94   1.00000   0
g         41  94   6.26667
gp        41  94   2.73333
gn        41  94   3.53333
#
# Gamma-ray
#
gamgam    41  94   0.14500
sgr       41  94   2.515 M1
egr       41  94   9.017 M1
ggr       41  94   4.000 M1
sgr       41  94 192.148 E1
egr       41  94  16.523 E1
ggr       41  94   5.515 E1
sgr       41  94   0.002 M2
egr       41  94   9.017 M2
ggr       41  94   4.000 M2
sgr       41  94   0.144 E2
egr       41  94  13.856 E2
ggr       41  94   4.982 E2
#---------------------------------------------
#
# Parameters for  93Nb
#
# Level density
#
a         41  93  12.31308
gammald   41  93   0.08058
pair      41  93   1.24434
Pshift    41  93   0.00000   0
deltaW    41  93   0.10752   0
T         41  93   0.87005   0
E0        41  93  -1.36859   0
Exmatch   41  93   7.66462   0
Ntop      41  93  15   0
Nlow      41  93   5   0
Krotconstant   41  93   1.00000   0
g         41  93   6.20000
gp        41  93   2.73333
gn        41  93   3.46667
#
# Gamma-ray
#
gamgam    41  93   0.15000
sgr       41  93   2.555 M1
egr       41  93   9.049 M1
ggr       41  93   4.000 M1
sgr       41  93 200.000 E1
egr       41  93  16.590 E1
ggr       41  93   5.050 E1
sgr       41  93   0.002 M2
egr       41  93   9.049 M2
ggr       41  93   4.000 M2
sgr       41  93   0.145 E2
egr       41  93  13.905 E2
ggr       41  93   4.994 E2
#---------------------------------------------
#
# Parameters for  93Zr
#
# Level density
#
a         40  93  12.61712
gammald   40  93   0.08058
pair      40  93   1.24434
D0        40  93      2.60
Pshift    40  93   0.00000   0
deltaW    40  93   0.48118   0
T         40  93   0.71043   0
E0        40  93   0.04907   0
Exmatch   40  93   5.14535   0
Ntop      40  93  18   0
Nlow      40  93   8   0
Krotconstant   40  93   1.00000   0
g         40  93   6.20000
gp        40  93   2.66667
gn        40  93   3.53333
#
# Gamma-ray
#
gamgam    40  93   0.13500
sgr       40  93   2.555 M1
egr       40  93   9.049 M1
ggr       40  93   4.000 M1
sgr       40  93 188.566 E1
egr       40  93  16.564 E1
ggr       40  93   5.541 E1
sgr       40  93   0.002 M2
egr       40  93   9.049 M2
ggr       40  93   4.000 M2
sgr       40  93   0.138 E2
egr       40  93  13.905 E2
ggr       40  93   4.994 E2
#---------------------------------------------
#
# Parameters for  92Zr
#
# Level density
#
a         40  92  12.12135
gammald   40  92   0.08088
pair      40  92   2.50217
D0        40  92      0.57
Pshift    40  92   0.00000   0
deltaW    40  92  -0.00102   0
T         40  92   0.80380   0
E0        40  92   0.68868   0
Exmatch   40  92   7.63962   0
Ntop      40  92  16   0
Nlow      40  92   3   0
Krotconstant   40  92   1.00000   0
g         40  92   6.13333
gp        40  92   2.66667
gn        40  92   3.46667
#
# Gamma-ray
#
gamgam    40  92   0.14000
sgr       40  92   2.595 M1
egr       40  92   9.082 M1
ggr       40  92   4.000 M1
sgr       40  92 166.000 E1
egr       40  92  16.260 E1
ggr       40  92   4.680 E1
sgr       40  92   0.002 M2
egr       40  92   9.082 M2
ggr       40  92   4.000 M2
sgr       40  92   0.138 E2
egr       40  92  13.955 E2
ggr       40  92   5.006 E2
#---------------------------------------------
#
# Parameters for  91Zr
#
# Level density
#
a         40  91  11.05981
gammald   40  91   0.08117
pair      40  91   1.25794
D0        40  91      6.40
Pshift    40  91   0.00000   0
deltaW    40  91  -1.22875   0
T         40  91   0.79446   0
E0        40  91   0.05318   0
Exmatch   40  91   5.70228   0
Ntop      40  91  17   0
Nlow      40  91   3   0
Krotconstant   40  91   1.00000   0
g         40  91   6.06667
gp        40  91   2.66667
gn        40  91   3.40000
#
# Gamma-ray
#
gamgam    40  91   0.13000
sgr       40  91   2.637 M1
egr       40  91   9.115 M1
ggr       40  91   4.000 M1
sgr       40  91 184.000 E1
egr       40  91  16.580 E1
ggr       40  91   4.200 E1
sgr       40  91   0.002 M2
egr       40  91   9.115 M2
ggr       40  91   4.000 M2
sgr       40  91   0.139 E2
egr       40  91  14.006 E2
ggr       40  91   5.018 E2
#---------------------------------------------
#
# Parameters for  91Y 
#
# Level density
#
a         39  91  12.13820
gammald   39  91   0.08117
pair      39  91   1.25794
Pshift    39  91   0.00000   0
deltaW    39  91   0.16983   0
T         39  91   0.61579   0
E0        39  91   0.85751   0
Exmatch   39  91   3.65674   0
Ntop      39  91  15   0
Nlow      39  91   8   0
Krotconstant   39  91   1.00000   0
g         39  91   6.06667
gp        39  91   2.60000
gn        39  91   3.46667
#
# Gamma-ray
#
gamgam    39  91   0.16000
sgr       39  91   2.637 M1
egr       39  91   9.115 M1
ggr       39  91   4.000 M1
sgr       39  91 182.550 E1
egr       39  91  16.650 E1
ggr       39  91   5.596 E1
sgr       39  91   0.002 M2
egr       39  91   9.115 M2
ggr       39  91   4.000 M2
sgr       39  91   0.132 E2
egr       39  91  14.006 E2
ggr       39  91   5.018 E2
#---------------------------------------------
#
# Parameters for  90Y 
#
# Level density
#
a         39  90  10.94006
gammald   39  90   0.08147
pair      39  90   0.00000
D0        39  90      4.00
Pshift    39  90   0.00000   0
deltaW    39  90  -1.29039   0
T         39  90   0.87635   0
E0        39  90  -1.85490   0
Exmatch   39  90   5.75556   0
Ntop      39  90  16   0
Nlow      39  90   3   0
Krotconstant   39  90   1.00000   0
g         39  90   6.00000
gp        39  90   2.60000
gn        39  90   3.40000
#
# Gamma-ray
#
gamgam    39  90   0.13000
sgr       39  90   2.680 M1
egr       39  90   9.149 M1
ggr       39  90   4.000 M1
sgr       39  90 180.129 E1
egr       39  90  16.693 E1
ggr       39  90   5.624 E1
sgr       39  90   0.002 M2
egr       39  90   9.149 M2
ggr       39  90   4.000 M2
sgr       39  90   0.133 E2
egr       39  90  14.058 E2
ggr       39  90   5.030 E2
#---------------------------------------------
#
# Parameters for  92Nb
#
# Level density
#
a         41  92  11.10435
gammald   41  92   0.08088
pair      41  92   0.00000
Pshift    41  92   0.00000   0
deltaW    41  92  -1.40400   0
T         41  92   0.72034   0
E0        41  92  -0.64356   0
Exmatch   41  92   3.29515   0
Ntop      41  92  15   0
Nlow      41  92   8   0
Krotconstant   41  92   1.00000   0
g         41  92   6.13333
gp        41  92   2.73333
gn        41  92   3.40000
#
# Gamma-ray
#
gamgam    41  92   0.15500
sgr       41  92   2.595 M1
egr       41  92   9.082 M1
ggr       41  92   4.000 M1
sgr       41  92 187.095 E1
egr       41  92  16.607 E1
ggr       41  92   5.568 E1
sgr       41  92   0.002 M2
egr       41  92   9.082 M2
ggr       41  92   4.000 M2
sgr       41  92   0.145 E2
egr       41  92  13.955 E2
ggr       41  92   5.006 E2
#---------------------------------------------
#
# Parameters for  90Zr
#
# Level density
#
a         40  90  10.57915
gammald   40  90   0.08147
pair      40  90   2.52982
Pshift    40  90   0.00000   0
deltaW    40  90  -1.95076   0
T         40  90   0.52952   0
E0        40  90   2.98899   0
Exmatch   40  90   2.94079   0
Ntop      40  90  16   0
Nlow      40  90   8   0
Krotconstant   40  90   1.00000   0
g         40  90   6.00000
gp        40  90   2.66667
gn        40  90   3.33333
#
# Gamma-ray
#
gamgam    40  90   0.16500
sgr       40  90   2.680 M1
egr       40  90   9.149 M1
ggr       40  90   4.000 M1
sgr       40  90 211.000 E1
egr       40  90  16.740 E1
ggr       40  90   4.160 E1
sgr       40  90   0.002 M2
egr       40  90   9.149 M2
ggr       40  90   4.000 M2
sgr       40  90   0.140 E2
egr       40  90  14.058 E2
ggr       40  90   5.030 E2
#---------------------------------------------
#
# Parameters for  89Y 
#
# Level density
#
a         39  89  10.57033
gammald   39  89   0.08177
pair      39  89   1.27200
Pshift    39  89   0.00000   0
deltaW    39  89  -1.86045   0
T         39  89   0.89592   0
E0        39  89  -0.44113   0
Exmatch   39  89   7.06076   0
Ntop      39  89  15   0
Nlow      39  89   5   0
Krotconstant   39  89   1.00000   0
g         39  89   5.93333
gp        39  89   2.60000
gn        39  89   3.33333
#
# Gamma-ray
#
gamgam    39  89   0.17000
sgr       39  89   2.725 M1
egr       39  89   9.183 M1
ggr       39  89   4.000 M1
sgr       39  89 205.000 E1
egr       39  89  16.830 E1
ggr       39  89   3.690 E1
sgr       39  89   0.002 M2
egr       39  89   9.183 M2
ggr       39  89   4.000 M2
sgr       39  89   0.133 E2
egr       39  89  14.111 E2
ggr       39  89   5.042 E2
#---------------------------------------------
#
# Parameters for  91Nb
#
# Level density
#
a         41  91  10.75185
gammald   41  91   0.08117
pair      41  91   1.25794
Pshift    41  91   0.00000   0
deltaW    41  91  -1.93801   0
T         41  91   0.89232   0
E0        41  91  -0.50370   0
Exmatch   41  91   7.14366   0
Ntop      41  91  16   0
Nlow      41  91   7   0
Krotconstant   41  91   1.00000   0
g         41  91   6.06667
gp        41  91   2.73333
gn        41  91   3.33333
#
# Gamma-ray
#
gamgam    41  91   0.16000
sgr       41  91   2.637 M1
egr       41  91   9.115 M1
ggr       41  91   4.000 M1
sgr       41  91 184.530 E1
egr       41  91  16.650 E1
ggr       41  91   5.596 E1
sgr       41  91   0.002 M2
egr       41  91   9.115 M2
ggr       41  91   4.000 M2
sgr       41  91   0.146 E2
egr       41  91  14.006 E2
ggr       41  91   5.018 E2
#---------------------------------------------
#
# Parameters for  89Zr
#
# Level density
#
a         40  89  11.37032
gammald   40  89   0.08177
pair      40  89   1.27200
Pshift    40  89   0.00000   0
deltaW    40  89  -0.58910   0
T         40  89   0.80868   0
E0        40  89  -0.20447   0
Exmatch   40  89   6.04303   0
Ntop      40  89  15   0
Nlow      40  89   2   0
Krotconstant   40  89   1.00000   0
g         40  89   5.93333
gp        40  89   2.66667
gn        40  89   3.26667
#
# Gamma-ray
#
gamgam    40  89   0.17000
sgr       40  89   2.725 M1
egr       40  89   9.183 M1
ggr       40  89   4.000 M1
sgr       40  89 178.594 E1
egr       40  89  16.737 E1
ggr       40  89   5.652 E1
sgr       40  89   0.002 M2
egr       40  89   9.183 M2
ggr       40  89   4.000 M2
sgr       40  89   0.140 E2
egr       40  89  14.111 E2
ggr       40  89   5.042 E2
#---------------------------------------------
#
# Parameters for  88Y 
#
# Level density
#
a         39  88  11.33374
gammald   39  88   0.08208
pair      39  88   0.00000
Pshift    39  88   0.00000   0
deltaW    39  88  -0.50882   0
T         39  88   0.69588   0
E0        39  88  -0.61753   0
Exmatch   39  88   3.04488   0
Ntop      39  88  15   0
Nlow      39  88   8   0
Krotconstant   39  88   1.00000   0
g         39  88   5.86667
gp        39  88   2.60000
gn        39  88   3.26667
#
# Gamma-ray
#
gamgam    39  88   0.17500
sgr       39  88   2.771 M1
egr       39  88   9.218 M1
ggr       39  88   4.000 M1
sgr       39  88 175.212 E1
egr       39  88  16.782 E1
ggr       39  88   5.681 E1
sgr       39  88   0.002 M2
egr       39  88   9.218 M2
ggr       39  88   4.000 M2
sgr       39  88   0.134 E2
egr       39  88  14.164 E2
ggr       39  88   5.054 E2
#---------------------------------------------
#
# Parameters for  92Y 
#
# Level density
#
a         39  92  12.40156
gammald   39  92   0.08088
pair      39  92   0.00000
Pshift    39  92   0.00000   0
deltaW    39  92   0.36701   0
T         39  92   0.82900   0
E0        39  92  -2.21671   0
Exmatch   39  92   5.69130   0
Ntop      39  92  15   0
Nlow      39  92   7   0
Krotconstant   39  92   1.00000   0
g         39  92   6.13333
gp        39  92   2.60000
gn        39  92   3.53333
#
# Gamma-ray
#
gamgam    39  92   0.15500
sgr       39  92   2.595 M1
egr       39  92   9.082 M1
ggr       39  92   4.000 M1
sgr       39  92 184.947 E1
egr       39  92  16.607 E1
ggr       39  92   5.568 E1
sgr       39  92   0.002 M2
egr       39  92   9.082 M2
ggr       39  92   4.000 M2
sgr       39  92   0.131 E2
egr       39  92  13.955 E2
ggr       39  92   5.006 E2
#---------------------------------------------
#
# Parameters for  90Sr
#
# Level density
#
a         38  90  12.01273
gammald   38  90   0.08147
pair      38  90   2.52982
Pshift    38  90   0.00000   0
deltaW    38  90   0.14506   0
T         38  90   0.74907   0
E0        38  90   1.24728   0
Exmatch   38  90   6.70352   0
Ntop      38  90  26   0
Nlow      38  90   8   0
Krotconstant   38  90   1.00000   0
g         38  90   6.00000
gp        38  90   2.53333
gn        38  90   3.46667
#
# Gamma-ray
#
gamgam    38  90   0.16500
sgr       38  90   2.680 M1
egr       38  90   9.149 M1
ggr       38  90   4.000 M1
sgr       38  90 178.951 E1
egr       38  90  16.693 E1
ggr       38  90   5.624 E1
sgr       38  90   0.002 M2
egr       38  90   9.149 M2
ggr       38  90   4.000 M2
sgr       38  90   0.126 E2
egr       38  90  14.058 E2
ggr       38  90   5.030 E2
#---------------------------------------------
#
# Parameters for  89Sr
#
# Level density
#
a         38  89  11.03603
gammald   38  89   0.08177
pair      38  89   1.27200
D0        38  89     25.00
Pshift    38  89   0.00000   0
deltaW    38  89  -0.95160   0
T         38  89   0.87601   0
E0        38  89  -0.67569   0
Exmatch   38  89   7.06076   0
Ntop      38  89  15   0
Nlow      38  89   7   0
Krotconstant   38  89   1.00000   0
g         38  89   5.93333
gp        38  89   2.53333
gn        38  89   3.40000
#
# Gamma-ray
#
gamgam    38  89   0.22000
sgr       38  89   2.725 M1
egr       38  89   9.183 M1
ggr       38  89   4.000 M1
sgr       38  89 176.590 E1
egr       38  89  16.737 E1
ggr       38  89   5.652 E1
sgr       38  89   0.002 M2
egr       38  89   9.183 M2
ggr       38  89   4.000 M2
sgr       38  89   0.127 E2
egr       38  89  14.111 E2
ggr       38  89   5.042 E2
#---------------------------------------------
#
