##
## Parameters for 239U 
##
## Level density
##
a                92 239  29.94213
aadjust          92 239   1.00000
gammald          92 239   0.07396
pair             92 239   0.77622
Pshift           92 239   0.00000   0
Pshiftadjust     92 239   0.00000   0
deltaW           92 239   3.07734   0
T                92 239   0.50497   0
E0               92 239  -0.35430   0
Exmatch          92 239   3.58276   0
Tadjust          92 239   1.00000   0
E0adjust         92 239   1.00000   0
Exmatchadjust    92 239   1.00000   0
Ntop             92 239  34   0
Nlow             92 239   8   0
s2adjust         92 239   1.00000   0
ctable           92 239   0.00000
ptable           92 239   0.00000
Krotconstant     92 239   1.00000   0
Pshift           92 239   0.00000   1
Pshiftadjust     92 239   0.00000   1
deltaW           92 239   2.05156   1
T                92 239   0.40024   1
E0               92 239  -1.54269   1
Exmatch          92 239   5.89414   1
Tadjust          92 239   1.00000   1
E0adjust         92 239   1.00000   1
Exmatchadjust    92 239   1.00000   1
Ntop             92 239   9   1
Nlow             92 239   2   1
s2adjust         92 239   1.00000   1
ctable           92 239   0.00000
ptable           92 239   0.00000
Krotconstant     92 239   1.00000   1
Pshift           92 239   0.00000   2
Pshiftadjust     92 239   0.00000   2
deltaW           92 239   2.05156   2
T                92 239   0.44238   2
E0               92 239  -2.41400   2
Exmatch          92 239   6.63850   2
Tadjust          92 239   1.00000   2
E0adjust         92 239   1.00000   2
Exmatchadjust    92 239   1.00000   2
Ntop             92 239  17   2
Nlow             92 239   2   2
s2adjust         92 239   1.00000   2
ctable           92 239   0.00000
ptable           92 239   0.00000
Krotconstant     92 239   1.00000   2
D0               92 239 2.08000E-02
g                92 239  15.93333
gp               92 239   6.13333
gn               92 239   9.80000
gnadjust         92 239   1.00000
gpadjust         92 239   1.00000
##
## Gamma-ray
##
gamgam           92 239   0.02400
gamgamadjust     92 239   1.00000
sgr              92 239 712.178 E1
egr              92 239  13.297 E1
ggr              92 239   3.642 E1
sgradjust        92 239   1.000 E1
egradjust        92 239   1.000 E1
ggradjust        92 239   1.000 E1
sgr              92 239   1.126 M1
egr              92 239   6.607 M1
ggr              92 239   4.000 M1
sgradjust        92 239   1.000 M1
egradjust        92 239   1.000 M1
ggradjust        92 239   1.000 M1
sgr              92 239   0.598 E2
egr              92 239  10.152 E2
ggr              92 239   3.242 E2
sgradjust        92 239   1.000 E2
egradjust        92 239   1.000 E2
ggradjust        92 239   1.000 E2
sgr              92 239   0.001 M2
egr              92 239   6.607 M2
ggr              92 239   4.000 M2
sgradjust        92 239   1.000 M2
egradjust        92 239   1.000 M2
ggradjust        92 239   1.000 M2
##
## Fission parameters
##
fisbar           92 239   6.35000  1
fishw            92 239   0.70000  1
fisbaradjust     92 239   1.00000  1
fishwadjust      92 239   1.00000  1
class2width      92 239   0.20000  1
Rtransmom        92 239   0.60000  1
Rclass2mom       92 239   1.00000  1
fisbar           92 239   5.80000  2
fishw            92 239   0.50000  2
fisbaradjust     92 239   1.00000  2
fishwadjust      92 239   1.00000  2
Rtransmom        92 239   1.00000  2
Rclass2mom       92 239   1.00000  2
##--------------------------------------------
##
## Parameters for 238U 
##
## Level density
##
a                92 238  30.02925
aadjust          92 238   1.00000
gammald          92 238   0.07407
pair             92 238   1.55569
Pshift           92 238   0.00000   0
Pshiftadjust     92 238   0.00000   0
deltaW           92 238   3.01184   0
T                92 238   0.40968   0
E0               92 238  -0.12474   0
Exmatch          92 238   5.17037   0
Tadjust          92 238   1.00000   0
E0adjust         92 238   1.00000   0
Exmatchadjust    92 238   1.00000   0
Ntop             92 238  18   0
Nlow             92 238   3   0
s2adjust         92 238   1.00000   0
ctable           92 238   0.00000
ptable           92 238   0.00000
Krotconstant     92 238   1.00000   0
Pshift           92 238   0.00000   1
Pshiftadjust     92 238   0.00000   1
deltaW           92 238   2.00790   1
T                92 238   0.43304   1
E0               92 238  -1.59711   1
Exmatch          92 238   6.70320   1
Tadjust          92 238   1.00000   1
E0adjust         92 238   1.00000   1
Exmatchadjust    92 238   1.00000   1
Ntop             92 238  39   1
Nlow             92 238   2   1
s2adjust         92 238   1.00000   1
ctable           92 238   0.00000
ptable           92 238   0.00000
Krotconstant     92 238   1.00000   1
Pshift           92 238   0.00000   2
Pshiftadjust     92 238   0.00000   2
deltaW           92 238   2.00790   2
T                92 238   0.38340   2
E0               92 238  -0.92407   2
Exmatch          92 238   6.48765   2
Tadjust          92 238   1.00000   2
E0adjust         92 238   1.00000   2
Exmatchadjust    92 238   1.00000   2
Ntop             92 238  14   2
Nlow             92 238   2   2
s2adjust         92 238   1.00000   2
ctable           92 238   0.00000
ptable           92 238   0.00000
Krotconstant     92 238   1.00000   2
D0               92 238 3.50000E-03
g                92 238  15.86667
gp               92 238   6.13333
gn               92 238   9.73333
gnadjust         92 238   1.00000
gpadjust         92 238   1.00000
##
## Gamma-ray
##
gamgam           92 238   0.03000
gamgamadjust     92 238   1.00000
sgr              92 238 311.000 E1
egr              92 238  10.770 E1
ggr              92 238   2.370 E1
sgradjust        92 238   1.000 E1
egradjust        92 238   1.000 E1
ggradjust        92 238   1.000 E1
sgr              92 238 459.000 E1 2
egr              92 238  13.800 E1 2
ggr              92 238   5.130 E1 2
sgradjust        92 238   1.000 E1 2
egradjust        92 238   1.000 E1 2
ggradjust        92 238   1.000 E1 2
sgr              92 238   2.242 M1
egr              92 238   6.616 M1
ggr              92 238   4.000 M1
sgradjust        92 238   1.000 M1
egradjust        92 238   1.000 M1
ggradjust        92 238   1.000 M1
sgr              92 238   0.597 E2
egr              92 238  10.166 E2
ggr              92 238   3.254 E2
sgradjust        92 238   1.000 E2
egradjust        92 238   1.000 E2
ggradjust        92 238   1.000 E2
sgr              92 238   0.002 M2
egr              92 238   6.616 M2
ggr              92 238   4.000 M2
sgradjust        92 238   1.000 M2
egradjust        92 238   1.000 M2
ggradjust        92 238   1.000 M2
##
## Fission parameters
##
fisbar           92 238   6.05000  1
fishw            92 238   0.75000  1
fisbaradjust     92 238   1.00000  1
fishwadjust      92 238   1.00000  1
class2width      92 238   0.10000  1
Rtransmom        92 238   0.60000  1
Rclass2mom       92 238   1.00000  1
fisbar           92 238   5.30000  2
fishw            92 238   0.60000  2
fisbaradjust     92 238   1.00000  2
fishwadjust      92 238   1.00000  2
Rtransmom        92 238   1.00000  2
Rclass2mom       92 238   1.00000  2
##--------------------------------------------
##
## Parameters for 238Pa
##
## Level density
##
a                91 238  31.63274
aadjust          91 238   1.00000
gammald          91 238   0.07407
pair             91 238   0.00000
Pshift           91 238   0.00000   0
Pshiftadjust     91 238   0.00000   0
deltaW           91 238   3.64603   0
T                91 238   0.32067   0
E0               91 238  -0.72904   0
Exmatch          91 238   2.13830   0
Tadjust          91 238   1.00000   0
E0adjust         91 238   1.00000   0
Exmatchadjust    91 238   1.00000   0
Ntop             91 238   1   0
Nlow             91 238   0   0
s2adjust         91 238   1.00000   0
ctable           91 238   0.00000
ptable           91 238   0.00000
Krotconstant     91 238   1.00000   0
Pshift           91 238   0.00000   1
Pshiftadjust     91 238   0.00000   1
deltaW           91 238   2.43069   1
T                91 238   0.32067   1
E0               91 238  -0.53419   1
Exmatch          91 238   1.94786   1
Tadjust          91 238   1.00000   1
E0adjust         91 238   1.00000   1
Exmatchadjust    91 238   1.00000   1
Ntop             91 238  21   1
Nlow             91 238   2   1
s2adjust         91 238   1.00000   1
ctable           91 238   0.00000
ptable           91 238   0.00000
Krotconstant     91 238   1.00000   1
Pshift           91 238   0.00000   2
Pshiftadjust     91 238   0.00000   2
deltaW           91 238   2.43069   2
T                91 238   0.32067   2
E0               91 238  -0.28323   2
Exmatch          91 238   3.73303   2
Tadjust          91 238   1.00000   2
E0adjust         91 238   1.00000   2
Exmatchadjust    91 238   1.00000   2
Ntop             91 238  28   2
Nlow             91 238   2   2
s2adjust         91 238   1.00000   2
ctable           91 238   0.00000
ptable           91 238   0.00000
Krotconstant     91 238   1.00000   2
g                91 238  15.86667
gp               91 238   6.06667
gn               91 238   9.80000
gnadjust         91 238   1.00000
gpadjust         91 238   1.00000
##
## Gamma-ray
##
gamgam           91 238   0.03000
gamgamadjust     91 238   1.00000
sgr              91 238 706.097 E1
egr              91 238  13.310 E1
ggr              91 238   3.649 E1
sgradjust        91 238   1.000 E1
egradjust        91 238   1.000 E1
ggradjust        91 238   1.000 E1
sgr              91 238   1.115 M1
egr              91 238   6.616 M1
ggr              91 238   4.000 M1
sgradjust        91 238   1.000 M1
egradjust        91 238   1.000 M1
ggradjust        91 238   1.000 M1
sgr              91 238   0.584 E2
egr              91 238  10.166 E2
ggr              91 238   3.254 E2
sgradjust        91 238   1.000 E2
egradjust        91 238   1.000 E2
ggradjust        91 238   1.000 E2
sgr              91 238   0.001 M2
egr              91 238   6.616 M2
ggr              91 238   4.000 M2
sgradjust        91 238   1.000 M2
egradjust        91 238   1.000 M2
ggradjust        91 238   1.000 M2
##
## Fission parameters
##
fisbar           91 238   5.80000  1
fishw            91 238   1.00000  1
fisbaradjust     91 238   1.00000  1
fishwadjust      91 238   1.00000  1
class2width      91 238   0.20000  1
Rtransmom        91 238   0.60000  1
Rclass2mom       91 238   1.00000  1
fisbar           91 238   5.00000  2
fishw            91 238   0.60000  2
fisbaradjust     91 238   1.00000  2
fishwadjust      91 238   1.00000  2
Rtransmom        91 238   1.00000  2
Rclass2mom       91 238   1.00000  2
##--------------------------------------------
##
## Parameters for 237Pa
##
## Level density
##
a                91 237  31.50315
aadjust          91 237   1.00000
gammald          91 237   0.07417
pair             91 237   0.77948
Pshift           91 237   0.00000   0
Pshiftadjust     91 237   0.00000   0
deltaW           91 237   3.68336   0
T                91 237   0.33662   0
E0               91 237  -0.11175   0
Exmatch          91 237   3.17456   0
Tadjust          91 237   1.00000   0
E0adjust         91 237   1.00000   0
Exmatchadjust    91 237   1.00000   0
Ntop             91 237  17   0
Nlow             91 237   8   0
s2adjust         91 237   1.00000   0
ctable           91 237   0.00000
ptable           91 237   0.00000
Krotconstant     91 237   1.00000   0
Pshift           91 237   0.00000   1
Pshiftadjust     91 237   0.00000   1
deltaW           91 237   2.45557   1
T                91 237   0.44632   1
E0               91 237  -1.24190   1
Exmatch          91 237   4.99725   1
Tadjust          91 237   1.00000   1
E0adjust         91 237   1.00000   1
Exmatchadjust    91 237   1.00000   1
Ntop             91 237   9   1
Nlow             91 237   2   1
s2adjust         91 237   1.00000   1
ctable           91 237   0.00000
ptable           91 237   0.00000
Krotconstant     91 237   1.00000   1
Pshift           91 237   0.00000   2
Pshiftadjust     91 237   0.00000   2
deltaW           91 237   2.45557   2
T                91 237   0.41741   2
E0               91 237  -0.81793   2
Exmatch          91 237   4.41380   2
Tadjust          91 237   1.00000   2
E0adjust         91 237   1.00000   2
Exmatchadjust    91 237   1.00000   2
Ntop             91 237  10   2
Nlow             91 237   2   2
s2adjust         91 237   1.00000   2
ctable           91 237   0.00000
ptable           91 237   0.00000
Krotconstant     91 237   1.00000   2
g                91 237  15.80000
gp               91 237   6.06667
gn               91 237   9.73333
gnadjust         91 237   1.00000
gpadjust         91 237   1.00000
##
## Gamma-ray
##
gamgam           91 237   0.03000
gamgamadjust     91 237   1.00000
sgr              91 237 702.952 E1
egr              91 237  13.323 E1
ggr              91 237   3.655 E1
sgradjust        91 237   1.000 E1
egradjust        91 237   1.000 E1
ggradjust        91 237   1.000 E1
sgr              91 237   1.109 M1
egr              91 237   6.625 M1
ggr              91 237   4.000 M1
sgradjust        91 237   1.000 M1
egradjust        91 237   1.000 M1
ggradjust        91 237   1.000 M1
sgr              91 237   0.584 E2
egr              91 237  10.180 E2
ggr              91 237   3.266 E2
sgradjust        91 237   1.000 E2
egradjust        91 237   1.000 E2
ggradjust        91 237   1.000 E2
sgr              91 237   0.001 M2
egr              91 237   6.625 M2
ggr              91 237   4.000 M2
sgradjust        91 237   1.000 M2
egradjust        91 237   1.000 M2
ggradjust        91 237   1.000 M2
##
## Fission parameters
##
fisbar           91 237   5.40000  1
fishw            91 237   1.00000  1
fisbaradjust     91 237   1.00000  1
fishwadjust      91 237   1.00000  1
class2width      91 237   0.20000  1
Rtransmom        91 237   0.60000  1
Rclass2mom       91 237   1.00000  1
fisbar           91 237   6.70000  2
fishw            91 237   0.60000  2
fisbaradjust     91 237   1.00000  2
fishwadjust      91 237   1.00000  2
Rtransmom        91 237   1.00000  2
Rclass2mom       91 237   1.00000  2
##--------------------------------------------
##
## Parameters for 236Pa
##
## Level density
##
a                91 236  30.86835
aadjust          91 236   1.00000
gammald          91 236   0.07427
pair             91 236   0.00000
Pshift           91 236   0.00000   0
Pshiftadjust     91 236   0.00000   0
deltaW           91 236   3.34251   0
T                91 236   0.26033   0
E0               91 236  -0.19190   0
Exmatch          91 236   1.20109   0
Tadjust          91 236   1.00000   0
E0adjust         91 236   1.00000   0
Exmatchadjust    91 236   1.00000   0
Ntop             91 236  30   0
Nlow             91 236   2   0
s2adjust         91 236   1.00000   0
ctable           91 236   0.00000
ptable           91 236   0.00000
Krotconstant     91 236   1.00000   0
Pshift           91 236   0.00000   1
Pshiftadjust     91 236   0.00000   1
deltaW           91 236   2.22834   1
T                91 236   0.38147   1
E0               91 236  -1.09820   1
Exmatch          91 236   2.89856   1
Tadjust          91 236   1.00000   1
E0adjust         91 236   1.00000   1
Exmatchadjust    91 236   1.00000   1
Ntop             91 236  21   1
Nlow             91 236   2   1
s2adjust         91 236   1.00000   1
ctable           91 236   0.00000
ptable           91 236   0.00000
Krotconstant     91 236   1.00000   1
Pshift           91 236   0.00000   2
Pshiftadjust     91 236   0.00000   2
deltaW           91 236   2.22834   2
T                91 236   0.39815   2
E0               91 236  -1.28577   2
Exmatch          91 236   3.20286   2
Tadjust          91 236   1.00000   2
E0adjust         91 236   1.00000   2
Exmatchadjust    91 236   1.00000   2
Ntop             91 236  28   2
Nlow             91 236   2   2
s2adjust         91 236   1.00000   2
ctable           91 236   0.00000
ptable           91 236   0.00000
Krotconstant     91 236   1.00000   2
g                91 236  15.73333
gp               91 236   6.06667
gn               91 236   9.66667
gnadjust         91 236   1.00000
gpadjust         91 236   1.00000
##
## Gamma-ray
##
gamgam           91 236   0.03000
gamgamadjust     91 236   1.00000
sgr              91 236 699.796 E1
egr              91 236  13.335 E1
ggr              91 236   3.662 E1
sgradjust        91 236   1.000 E1
egradjust        91 236   1.000 E1
ggradjust        91 236   1.000 E1
sgr              91 236   1.102 M1
egr              91 236   6.635 M1
ggr              91 236   4.000 M1
sgradjust        91 236   1.000 M1
egradjust        91 236   1.000 M1
ggradjust        91 236   1.000 M1
sgr              91 236   0.583 E2
egr              91 236  10.195 E2
ggr              91 236   3.278 E2
sgradjust        91 236   1.000 E2
egradjust        91 236   1.000 E2
ggradjust        91 236   1.000 E2
sgr              91 236   0.001 M2
egr              91 236   6.635 M2
ggr              91 236   4.000 M2
sgradjust        91 236   1.000 M2
egradjust        91 236   1.000 M2
ggradjust        91 236   1.000 M2
##
## Fission parameters
##
fisbar           91 236   5.60000  1
fishw            91 236   1.00000  1
fisbaradjust     91 236   1.00000  1
fishwadjust      91 236   1.00000  1
class2width      91 236   0.20000  1
Rtransmom        91 236   0.60000  1
Rclass2mom       91 236   1.00000  1
fisbar           91 236   5.70000  2
fishw            91 236   0.60000  2
fisbaradjust     91 236   1.00000  2
fishwadjust      91 236   1.00000  2
Rtransmom        91 236   1.00000  2
Rclass2mom       91 236   1.00000  2
##--------------------------------------------
##
## Parameters for 236Th
##
## Level density
##
a                90 236  31.81487
aadjust          90 236   1.00000
gammald          90 236   0.07427
pair             90 236   1.56227
Pshift           90 236   0.00000   0
Pshiftadjust     90 236   0.00000   0
deltaW           90 236   3.83697   0
T                90 236   0.31979   0
E0               90 236   0.83178   0
Exmatch          90 236   3.69225   0
Tadjust          90 236   1.00000   0
E0adjust         90 236   1.00000   0
Exmatchadjust    90 236   1.00000   0
Ntop             90 236   1   0
Nlow             90 236   0   0
s2adjust         90 236   1.00000   0
ctable           90 236   0.00000
ptable           90 236   0.00000
Krotconstant     90 236   1.00000   0
Pshift           90 236   0.00000   1
Pshiftadjust     90 236   0.00000   1
deltaW           90 236   2.55798   1
T                90 236   0.31979   1
E0               90 236   1.03328   1
Exmatch          90 236   3.49414   1
Tadjust          90 236   1.00000   1
E0adjust         90 236   1.00000   1
Exmatchadjust    90 236   1.00000   1
Ntop             90 236  39   1
Nlow             90 236   2   1
s2adjust         90 236   1.00000   1
ctable           90 236   0.00000
ptable           90 236   0.00000
Krotconstant     90 236   1.00000   1
Pshift           90 236   0.00000   2
Pshiftadjust     90 236   0.00000   2
deltaW           90 236   2.55798   2
T                90 236   0.31979   2
E0               90 236   1.29172   2
Exmatch          90 236   5.30430   2
Tadjust          90 236   1.00000   2
E0adjust         90 236   1.00000   2
