                    ************************************************************************************************
                    *  Z= 43 A=100: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc100 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.124  1.18E+01 2.35E+01 1.69E+02 1.41E+00 3.73E+00 4.88E+00 4.75E+00 3.76E+00 2.50E+00 1.43E+00 7.04E-01 3.02E-01 1.13E-01 3.72E-02 1.07E-02 2.71E-03 6.05E-04 1.19E-04 2.06E-05 3.14E-06 4.23E-07 5.03E-08 5.28E-09 4.90E-10 4.01E-11 2.91E-12 1.86E-13 1.05E-14 5.27E-16 2.33E-17 9.14E-19 3.16E-20 9.69E-22
   0.50  0.176  2.89E+01 3.44E+01 2.52E+02 1.98E+00 5.28E+00 6.97E+00 6.87E+00 5.54E+00 3.78E+00 2.21E+00 1.13E+00 5.03E-01 1.96E-01 6.76E-02 2.05E-02 5.48E-03 1.30E-03 2.72E-04 5.05E-05 8.29E-06 1.21E-06 1.56E-07 1.79E-08 1.82E-09 1.65E-10 1.32E-11 9.41E-13 5.95E-14 3.35E-15 1.67E-16 7.41E-18 2.92E-19 1.02E-20
   0.75  0.215  5.41E+01 5.03E+01 3.83E+02 2.69E+00 7.23E+00 9.70E+00 9.82E+00 8.19E+00 5.82E+00 3.59E+00 1.94E+00 9.26E-01 3.91E-01 1.46E-01 4.87E-02 1.44E-02 3.81E-03 9.00E-04 1.90E-04 3.57E-05 6.01E-06 9.05E-07 1.22E-07 1.47E-08 1.59E-09 1.53E-10 1.33E-11 1.03E-12 7.16E-14 4.45E-15 2.48E-16 1.24E-17 5.57E-19
   1.00  0.249  9.09E+01 7.35E+01 5.80E+02 3.67E+00 9.94E+00 1.35E+01 1.40E+01 1.20E+01 8.87E+00 5.72E+00 3.26E+00 1.65E+00 7.42E-01 2.99E-01 1.08E-01 3.49E-02 1.01E-02 2.65E-03 6.24E-04 1.32E-04 2.52E-05 4.33E-06 6.70E-07 9.36E-08 1.18E-08 1.34E-09 1.37E-10 1.27E-11 1.06E-12 7.98E-14 5.42E-15 3.33E-16 1.85E-17
   1.25  0.278  1.45E+02 1.08E+02 8.77E+02 5.02E+00 1.37E+01 1.89E+01 1.99E+01 1.76E+01 1.34E+01 8.97E+00 5.34E+00 2.84E+00 1.36E+00 5.83E-01 2.26E-01 7.88E-02 2.49E-02 7.12E-03 1.84E-03 4.33E-04 9.20E-05 1.77E-05 3.10E-06 4.92E-07 7.09E-08 9.28E-09 1.10E-09 1.19E-10 1.16E-11 1.04E-12 8.37E-14 6.15E-15 4.10E-16
   1.50  0.305  2.23E+02 1.57E+02 1.32E+03 6.92E+00 1.90E+01 2.65E+01 2.84E+01 2.56E+01 2.01E+01 1.39E+01 8.61E+00 4.79E+00 2.41E+00 1.09E+00 4.50E-01 1.68E-01 5.73E-02 1.77E-02 4.99E-03 1.28E-03 3.00E-04 6.40E-05 1.25E-05 2.21E-06 3.59E-07 5.32E-08 7.19E-09 8.88E-10 1.00E-10 1.03E-11 9.71E-13 8.35E-14 6.56E-15
   1.75  0.329  3.38E+02 2.30E+02 1.99E+03 9.55E+00 2.63E+01 3.71E+01 4.04E+01 3.72E+01 2.99E+01 2.13E+01 1.37E+01 7.92E+00 4.16E+00 1.99E+00 8.65E-01 3.44E-01 1.25E-01 4.14E-02 1.26E-02 3.50E-03 8.91E-04 2.08E-04 4.46E-05 8.75E-06 1.58E-06 2.61E-07 3.95E-08 5.50E-09 7.03E-10 8.25E-11 8.89E-12 8.80E-13 7.99E-14
   2.00  0.352  5.07E+02 3.37E+02 2.99E+03 1.32E+01 3.67E+01 5.21E+01 5.75E+01 5.38E+01 4.42E+01 3.25E+01 2.15E+01 1.29E+01 7.05E+00 3.52E+00 1.61E+00 6.75E-01 2.60E-01 9.17E-02 2.98E-02 8.90E-03 2.45E-03 6.19E-04 1.44E-04 3.10E-05 6.13E-06 1.12E-06 1.88E-07 2.91E-08 4.17E-09 5.49E-10 6.68E-11 7.49E-12 7.74E-13
