                    ************************************************************************************************
                    *  Z= 43 A= 99: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc 99 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.139  1.64E+00 6.56E+00 4.26E+01 6.96E-01 1.18E+00 1.33E+00 1.20E+00 9.05E-01 5.86E-01 3.30E-01 1.63E-01 7.05E-02 2.70E-02 9.15E-03 2.75E-03 7.33E-04 1.74E-04 3.66E-05 6.86E-06 1.15E-06 1.70E-07 2.26E-08 2.67E-09 2.81E-10 2.64E-11 2.22E-12 1.66E-13 1.11E-14 6.59E-16 3.51E-17 1.66E-18 7.05E-20 2.67E-21
   0.50  0.196  4.64E+00 1.20E+01 7.79E+01 1.27E+00 2.15E+00 2.44E+00 2.19E+00 1.66E+00 1.07E+00 6.03E-01 2.97E-01 1.29E-01 4.94E-02 1.67E-02 5.02E-03 1.34E-03 3.17E-04 6.69E-05 1.25E-05 2.09E-06 3.12E-07 4.13E-08 4.88E-09 5.14E-10 4.83E-11 4.05E-12 3.03E-13 2.02E-14 1.21E-15 6.41E-17 3.04E-18 1.29E-19 4.88E-21
   0.75  0.240  9.91E+00 2.11E+01 1.37E+02 2.22E+00 3.76E+00 4.26E+00 3.85E+00 2.92E+00 1.90E+00 1.07E+00 5.32E-01 2.32E-01 8.96E-02 3.06E-02 9.27E-03 2.50E-03 5.98E-04 1.27E-04 2.42E-05 4.09E-06 6.17E-07 8.30E-08 9.96E-09 1.07E-09 1.02E-10 8.70E-12 6.63E-13 4.51E-14 2.74E-15 1.49E-16 7.22E-18 3.13E-19 1.21E-20
   1.00  0.277  1.86E+01 3.48E+01 2.36E+02 3.45E+00 5.90E+00 6.82E+00 6.31E+00 4.93E+00 3.34E+00 1.98E+00 1.03E+00 4.79E-01 1.98E-01 7.28E-02 2.39E-02 7.04E-03 1.86E-03 4.38E-04 9.29E-05 1.77E-05 3.02E-06 4.62E-07 6.37E-08 7.89E-09 8.79E-10 8.79E-11 7.92E-12 6.41E-13 4.67E-14 3.06E-15 1.80E-16 9.56E-18 4.56E-19
   1.25  0.310  3.27E+01 5.62E+01 3.94E+02 5.24E+00 9.05E+00 1.06E+01 1.01E+01 8.08E+00 5.66E+00 3.49E+00 1.91E+00 9.35E-01 4.09E-01 1.61E-01 5.69E-02 1.81E-02 5.19E-03 1.34E-03 3.13E-04 6.60E-05 1.26E-05 2.16E-06 3.37E-07 4.74E-08 6.04E-09 6.95E-10 7.25E-11 6.84E-12 5.84E-13 4.51E-14 3.16E-15 2.00E-16 1.15E-17
   1.50  0.340  5.48E+01 8.86E+01 6.42E+02 7.83E+00 1.36E+01 1.62E+01 1.56E+01 1.29E+01 9.31E+00 5.95E+00 3.40E+00 1.74E+00 8.04E-01 3.35E-01 1.26E-01 4.30E-02 1.33E-02 3.72E-03 9.47E-04 2.19E-04 4.59E-05 8.75E-06 1.52E-06 2.39E-07 3.43E-08 4.48E-09 5.32E-10 5.75E-11 5.65E-12 5.06E-13 4.12E-14 3.06E-15 2.07E-16
   1.75  0.367  8.91E+01 1.37E+02 1.03E+03 1.15E+01 2.02E+01 2.43E+01 2.38E+01 2.01E+01 1.49E+01 9.84E+00 5.83E+00 3.12E+00 1.51E+00 6.62E-01 2.64E-01 9.57E-02 3.16E-02 9.52E-03 2.61E-03 6.55E-04 1.50E-04 3.13E-05 5.98E-06 1.04E-06 1.66E-07 2.43E-08 3.24E-09 3.95E-10 4.41E-11 4.50E-12 4.20E-13 3.59E-14 2.81E-15
   2.00  0.392  1.41E+02 2.09E+02 1.61E+03 1.66E+01 2.94E+01 3.58E+01 3.57E+01 3.07E+01 2.33E+01 1.59E+01 9.72E+00 5.39E+00 2.72E+00 1.25E+00 5.25E-01 2.01E-01 7.06E-02 2.27E-02 6.67E-03 1.80E-03 4.45E-04 1.01E-04 2.10E-05 4.02E-06 7.05E-07 1.14E-07 1.68E-08 2.29E-09 2.86E-10 3.28E-11 3.46E-12 3.36E-13 3.00E-14
   2.25  0.416  2.20E+02 3.13E+02 2.48E+03 2.38E+01 4.23E+01 5.20E+01 5.26E+01 4.60E+01 3.58E+01 2.50E+01 1.58E+01 9.05E+00 4.75E+00 2.28E+00 1.00E+00 4.03E-01 1.49E-01 5.08E-02 1.59E-02 4.58E-03 1.22E-03 2.97E-04 6.69E-05 1.39E-05 2.66E-06 4.69E-07 7.63E-08 1.14E-08 1.58E-09 2.02E-10 2.38E-11 2.59E-12 2.60E-13
   2.50  0.438  3.35E+02 4.63E+02 3.76E+03 3.36E+01 6.00E+01 7.46E+01 7.64E+01 6.80E+01 5.39E+01 3.85E+01 2.50E+01 1.48E+01 8.03E+00 4.00E+00 1.83E+00 7.73E-01 3.01E-01 1.08E-01 3.58E-02 1.09E-02 3.10E-03 8.09E-04 1.96E-04 4.38E-05 9.06E-06 1.73E-06 3.07E-07 5.04E-08 7.66E-09 1.08E-09 1.40E-10 1.69E-11 1.89E-12
   2.75  0.460  5.04E+02 6.76E+02 5.64E+03 4.70E+01 8.44E+01 1.06E+02 1.09E+02 9.89E+01 7.98E+01 5.83E+01 3.88E+01 2.36E+01 1.32E+01 6.83E+00 3.25E+00 1.43E+00 5.82E-01 2.19E-01 7.64E-02 2.47E-02 7.40E-03 2.06E-03 5.31E-04 1.27E-04 2.83E-05 5.83E-06 1.12E-06 1.99E-07 3.29E-08 5.05E-09 7.21E-10 9.57E-11 1.18E-11
   3.00  0.480  7.48E+02 9.76E+02 8.34E+03 6.51E+01 1.17E+02 1.48E+02 1.55E+02 1.42E+02 1.17E+02 8.69E+01 5.91E+01 3.70E+01 2.13E+01 1.14E+01 5.60E+00 2.56E+00 1.08E+00 4.27E-01 1.56E-01 5.30E-02 1.68E-02 4.93E-03 1.35E-03 3.44E-04 8.16E-05 1.80E-05 3.71E-06 7.12E-07 1.27E-07 2.12E-08 3.29E-09 4.76E-10 6.41E-11
   3.25  0.500  1.10E+03 1.39E+03 1.22E+04 8.94E+01 1.62E+02 2.06E+02 2.18E+02 2.02E+02 1.68E+02 1.28E+02 8.87E+01 5.68E+01 3.36E+01 1.84E+01 9.39E+00 4.44E+00 1.96E+00 8.02E-01 3.06E-01 1.09E-01 3.62E-02 1.12E-02 3.24E-03 8.74E-04 2.20E-04 5.18E-05 1.14E-05 2.34E-06 4.49E-07 8.05E-08 1.35E-08 2.11E-09 3.10E-10
   3.50  0.519  1.59E+03 1.97E+03 1.76E+04 1.22E+02 2.21E+02 2.83E+02 3.02E+02 2.84E+02 2.40E+02 1.85E+02 1.31E+02 8.58E+01 5.21E+01 2.93E+01 1.54E+01 7.52E+00 3.43E+00 1.46E+00 5.79E-01 2.15E-01 7.47E-02 2.43E-02 7.38E-03 2.10E-03 5.59E-04 1.40E-04 3.26E-05 7.13E-06 1.46E-06 2.81E-07 5.05E-08 8.51E-09 1.34E-09
   3.75  0.537  2.28E+03 2.77E+03 2.53E+04 1.65E+02 3.01E+02 3.87E+02 4.16E+02 3.95E+02 3.38E+02 2.65E+02 1.91E+02 1.28E+02 7.92E+01 4.58E+01 2.47E+01 1.24E+01 5.85E+00 2.58E+00 1.06E+00 4.10E-01 1.49E-01 5.05E-02 1.61E-02 4.80E-03 1.35E-03 3.54E-04 8.75E-05 2.03E-05 4.42E-06 9.04E-07 1.74E-07 3.14E-08 5.31E-09
   4.00  0.555  3.25E+03 3.86E+03 3.59E+04 2.21E+02 4.05E+02 5.24E+02 5.68E+02 5.44E+02 4.72E+02 3.75E+02 2.75E+02 1.87E+02 1.19E+02 7.02E+01 3.88E+01 2.01E+01 9.74E+00 4.43E+00 1.89E+00 7.58E-01 2.85E-01 1.01E-01 3.36E-02 1.05E-02 3.09E-03 8.53E-04 2.22E-04 5.44E-05 1.25E-05 2.72E-06 5.55E-07 1.07E-07 1.93E-08
